,ucs_ra,ucs_dec,spectral_type,r_P1,i_P1,z_P1,y_P1,rerr_P1,ierr_P1,zerr_P1,yerr_P1,J_2MASS,Ks_2MASS,Jerr_2MASS,Kserr_2MASS,W1,W2,W1err,W2err,ucs_pmra,ucs_pmdec,r_i_P1,i_z_P1,z_y_P1,J_Ks_2MASS,w1_w2_all,DES_r,DES_i,DES_z,DES_y,VISTA_J,VISTA_Ks,CAT_W1,CAT_W2
68,6.7347,-54.4813,8.0,,,,,,,,,12.462,11.344,0.023,0.026,11.104,10.902,0.022,0.021,349.51,-192.61,,,,1.1180000000000003,0.20199999999999996,,,,,12.360482014603873,11.392746225241181,11.114480382519472,10.931655816332356
69,6.7801,14.3969,8.0,,22.0,20.68,19.81,,0.06,0.06,0.09,,,,,,,,,30.0,0.0,,1.3200000000000003,0.870000000000001,,,,21.60264562822934,20.197098397779538,19.7293539341674,,,,
70,6.9206,8.9945,23.9,,,,,,,,,,,,,,,,,205.0,-287.0,,,,,,,,,,,,,
71,6.9249,5.0616,9.5,22.01,20.57,19.08,18.09,0.15,0.02,0.03,0.02,16.189,14.964,0.093,0.116,14.618,14.071,0.031,0.045,10.3,-0.86,1.4400000000000013,1.490000000000002,0.9899999999999984,1.2249999999999996,0.5470000000000006,22.20267574375578,20.084581852531212,18.532804516704772,18.00095538092681,16.089975342517114,15.017370856015148,14.627171093940138,14.106864515607688
72,6.9852,22.3249,8.0,17.2,,,,0.0,,,,10.614,9.569,0.022,0.017,9.319,9.076,0.022,0.019,407.9,-170.4,,,,1.045,0.24300000000000033,,,,,10.510780959111662,9.61459110331128,9.329324785905698,9.106393661753483
73,7.0015,1.0479,10.0,,21.4,20.12,19.25,,0.06,0.05,0.05,,,,,16.152,16.242,0.063,0.219,117.0,-41.0,,1.2799999999999976,0.870000000000001,,-0.08999999999999986,,21.023366516628897,19.63709839777954,19.1693539341674,,,16.163588534012707,16.266400917235554
74,7.0875,22.8178,17.0,,20.7,18.78,17.77,,0.06,0.02,0.01,15.607,13.781,0.072,0.063,13.05,12.792,0.023,0.026,565.0,-436.0,,1.9199999999999982,1.0100000000000016,1.8259999999999987,0.2580000000000009,,19.991832302235952,18.22208886985898,17.67955562205338,15.521979922665338,13.860346585876396,13.060267860315292,12.822663605200235
75,7.1146,14.3973,18.5,,,20.6,19.59,,,0.08,0.05,,,,,15.169,14.936,0.044,0.101,110.0,-110.0,,,1.0100000000000016,,0.23300000000000054,,,20.04208886985898,19.49955562205338,,,15.179362736299302,14.966213699455647
76,7.1643,15.0282,14.5,,21.62,20.01,18.96,,0.06,0.02,0.02,16.507,14.556,0.109,0.074,13.894,13.526,0.027,0.038,195.0,-19.0,,1.6099999999999994,1.0500000000000007,1.9510000000000023,0.3680000000000003,,21.072419187332535,19.43065757616739,18.866756104306514,16.424892688919126,14.640749191920747,13.903850405985649,13.55864319047643
77,7.231,-19.4546,10.0,20.95,18.55,17.08,16.1,0.03,0.01,0.01,0.0,14.191,12.845,0.029,0.03,12.521,12.253,0.023,0.024,109.2,23.1,2.3999999999999986,1.4700000000000024,0.9799999999999969,1.346,0.2680000000000007,20.582149316373727,18.074942296730992,16.53816234012767,16.011655260363526,14.094794900250786,12.903600578666081,12.531229909921688,12.283843567498073
